53236;8;26;24;10;16
53235;7;34;29;17;35
53234;17;13;10;11;26
53233;7;15;32;29;22
53232;31;15;35;21;36
53231;29;3;20;11;22
53230;13;34;7;2;35
53229;5;36;35;9;14
53228;33;31;22;10;23
53227;35;13;29;33;23
53226;6;34;28;12;26
53225;1;21;10;13;31
53224;24;12;25;28;5
53223;19;31;24;28;33
53222;9;25;22;26;21
53221;25;32;5;2;12
53220;1;4;29;21;17
53219;31;8;16;21;17
53218;34;31;15;7;18
53217;3;11;4;1;28
53216;12;4;27;17;3
53215;20;21;9;17;32
53214;32;15;25;17;20
53213;5;23;4;26;7
53212;22;10;19;13;25
53211;1;22;7;30;2
53210;32;11;8;34;25
53209;26;6;25;22;35
53208;12;30;6;10;5
53207;33;35;5;28;4
53206;27;14;11;25;1
53205;10;26;12;35;25
53204;33;12;13;3;19
53203;10;8;12;17;15
53202;2;16;12;3;25
53201;36;18;22;32;5
53200;14;15;7;28;27
53199;26;4;13;29;25
53198;23;9;4;7;34
53197;18;6;20;8;10
53196;3;1;10;15;19
53195;19;36;28;35;17
53194;17;34;22;24;21
53193;2;6;22;21;36
53192;30;29;7;18;19
53191;15;33;1;11;19
53190;15;10;22;4;20
53189;4;36;35;3;11
53188;23;22;7;29;16
53187;2;33;10;18;24
53186;2;8;32;28;23
53185;14;24;19;6;22
53184;22;35;32;28;5
53183;10;22;30;31;36
53182;3;35;29;34;31
53181;1;34;16;23;32
53180;15;9;7;22;12
53179;29;6;19;25;21
53178;15;16;14;5;24
53177;29;8;30;16;27
53176;12;33;11;36;16
53175;21;19;33;7;8
53174;10;17;25;14;24
53173;4;31;32;23;9
53172;15;31;30;16;2
53171;31;11;6;30;13
53170;19;36;35;13;15
53169;24;34;10;17;12
53168;29;14;3;12;31
53167;22;17;11;28;18
53166;36;34;8;29;11
53165;27;18;33;5;11
53164;4;33;9;6;26
53163;16;5;19;18;24
53162;8;26;15;12;2
53161;12;29;26;18;13
53160;21;13;22;30;35
53159;4;36;24;17;25
53158;27;17;30;11;10
53157;4;24;18;22;7
53156;24;8;3;35;22
53155;19;25;2;16;14
53154;36;17;24;7;13
53153;3;22;35;34;24
53152;10;30;13;32;5
53151;28;24;34;29;33
53150;35;29;25;20;27
53149;32;24;33;3;13
53148;36;26;2;33;10
53147;9;11;36;35;2
53146;13;25;17;6;20
53145;15;21;2;17;35
53144;8;28;18;36;2
53143;33;22;20;23;19
53142;35;17;28;16;5
53141;6;26;7;28;3
53140;14;19;31;15;29
53139;12;23;9;21;35
53138;14;24;4;9;3
53137;21;22;23;3;33
53136;2;27;25;23;24
53135;10;22;8;23;25
53134;12;24;1;13;36
53133;22;29;21;34;30
53132;26;1;3;6;22
53131;2;6;3;25;24
53130;25;26;27;1;21
53129;27;10;7;20;14
53128;3;26;21;29;6
53127;24;21;33;8;27
53126;36;7;28;8;20
53125;25;29;9;16;4
53124;15;23;32;10;8
53123;23;21;11;1;30
53122;13;2;10;30;11
53121;35;6;15;24;27
53120;3;19;2;11;33
53119;10;12;15;11;26
53118;19;4;6;29;32
53117;36;17;35;11;10
53116;16;26;18;22;15
53115;32;31;29;10;18
53114;3;29;13;20;22
53113;29;30;36;14;10
53112;30;1;28;23;8
53111;22;26;17;36;15
53110;9;31;6;26;35
53109;7;15;19;36;27
53108;34;14;22;32;17
53107;33;32;21;24;23
53106;8;12;31;34;4
53105;13;15;14;5;26
53104;26;7;28;36;24
53103;36;17;3;20;26
53102;11;12;21;20;6
53101;19;13;15;20;8
53100;7;8;27;25;32
53099;21;34;35;12;32
53098;3;26;27;32;16
53097;30;5;21;7;29
53096;8;31;34;28;24
53095;20;11;33;1;22
53094;9;27;17;28;4
53093;3;21;6;25;34
53092;19;24;12;8;2
53091;9;12;15;31;4
53090;6;9;17;33;23
53089;27;23;22;3;34
53088;35;19;11;26;31
53087;15;26;18;9;19
53086;5;10;13;35;30
53085;5;19;18;16;35
53084;16;10;11;34;36
53083;36;11;23;21;28
53082;15;10;8;5;20
53081;25;2;11;21;30
53080;21;8;33;6;26
53079;28;9;27;8;21
53078;5;12;23;13;7
53077;4;19;22;8;3
53076;2;20;11;5;34
53075;31;28;7;33;19
53074;17;8;27;35;21
53073;13;6;22;29;3
53072;22;25;17;8;33
53071;18;24;6;20;12
53070;8;29;27;17;25
53069;21;32;33;12;34
53068;1;12;3;6;15
53067;5;4;24;13;19
53066;24;30;34;29;9
53065;18;13;33;22;10
53064;27;10;26;15;7
53063;31;27;21;4;24
53062;19;3;7;34;10
53061;7;33;21;15;32
53060;36;18;2;25;17
53059;16;20;2;27;29
53058;33;9;13;23;4
53057;16;21;17;36;32
53056;15;1;8;10;23
53055;11;6;19;17;25
53054;30;34;33;10;18
53053;5;7;13;25;17
53052;20;13;8;14;9
53051;10;9;32;36;23
